Name,Assists,Map,MatchTeams
kiNgg,22,Ascent,C9 VS LEV
TenZ,21,Icebox,SEN VS 100T
stax,20,Bind,GEN VS DRX
hiroronn,20,Icebox,TS VS ZETA
d4v41,20,Lotus,GEN VS PRX
MAGNUM,19,Sunset,KC VS GX
trexx,19,Icebox,VIT VS TH
trexx,18,Icebox,VIT VS FUT
stax,18,Ascent,GEN VS DRX
trent,18,Bind,G2 VS 100T
sh1n,18,Sunset,KC VS GX
Anthem,18,Ascent,T1 VS DFM
qRaxs,17,Icebox,VIT VS FUT
heat,17,Icebox,KRU VS FUR
ardiis,17,Sunset,KC VS NAVI
MAGNUM,17,Sunset,KC VS NAVI
paTiTek,17,Sunset,VIT VS TH
beyAz,17,Sunset,BBL VS M8
AtaKaptan,17,Ascent,VIT VS FUT
Munchkin,16,Bind,GEN VS DRX
JonahP,16,Bind,G2 VS 100T
Rossy,16,Ascent,T1 VS DFM
pAura,16,Sunset,BBL VS TH
iZu,16,Bind,T1 VS PRX
starxo,16,Bind,FNC VS KOI
Xeppaa,16,Ascent,C9 VS LEV
Rossy,16,Sunset,T1 VS DFM
invy,16,Icebox,TS VS RRQ
Fit1nho,15,Ascent,TL VS GX
Enzo,15,Ascent,TL VS GX
Zyppan,15,Ascent,TL VS NAVI
ardiis,15,Lotus,TL VS NAVI
Cryocells,15,Bind,G2 VS 100T
TenZ,14,Lotus,SEN VS LEV
qRaxs,14,Bind,KC VS FUT
Carpe,14,Lotus,T1 VS DFM
mindfreak,14,Lotus,T1 VS PRX
NaturE,14,Sunset,C9 VS EG
Jamppi,14,Lotus,TL VS GX
hiroronn,14,Ascent,BLD VS ZETA
iZu,14,Ascent,T1 VS RRQ
Lakia,14,Lotus,GEN VS PRX
Deryeon,14,Icebox,BLD VS RRQ
grubinho,14,Bind,FNC VS KOI
MrFaliN,14,Lotus,KC VS FUT
TenZ,14,Split,SEN VS 100T
Redgar,14,Lotus,TL VS GX
Kicks,13,Ascent,VIT VS FUT
Lakia,13,Lotus,GEN VS TLN
Shao,13,Lotus,TL VS NAVI
Mistic,13,Ascent,TL VS GX
cauanzin,13,Breeze,NRG VS LOUD
Estrella,13,Icebox,TS VS RRQ
Boaster,13,Lotus,FNC VS TH
sScary,13,Lotus,BLD VS ZETA
Karon,13,Bind,GEN VS DRX
Boo,13,Sunset,BBL VS TH
f0rsakeN,13,Bind,T1 VS PRX
invy,13,Sunset,TS VS ZETA
reazy,13,Split,BBL VS TH
C0M,13,Lotus,SEN VS LEV
SSeeS,13,Sunset,T1 VS DFM
stax,13,Ascent,GE VS DRX
Mistic,13,Split,TL VS NAVI
Karon,13,Ascent,GEN VS DRX
Russ,13,Ascent,GE VS ZETA
runi,13,Ascent,C9 VS LEV
pAura,13,Ascent,BBL VS M8
saadhak,13,Breeze,NRG VS LOUD
Kicks,13,Breeze,VIT VS TH
bang,13,Split,G2 VS 100T
tex,13,Ascent,C9 VS LEV
ardiis,12,Bind,KC VS NAVI
Russ,12,Breeze,GE VS TLN
d4v41,12,Bind,GEN VS PRX
Munchkin,12,Ascent,GEN VS DRX
JessieVash,12,Lotus,TS VS DRX
Redgar,12,Ascent,TL VS GX
Boo,12,Icebox,VIT VS TH
JonahP,12,Lotus,G2 VS EG
Mistic,12,Lotus,TL VS NAVI
reazy,12,Sunset,BBL VS TH
Karon,12,Ascent,GEN VS TLN
MaKo,12,Breeze,T1 VS DRX
Sacy,12,Split,SEN VS 100T
Xeppaa,12,Sunset,C9 VS LEV
Mazino,12,Lotus,SEN VS LEV
iZu,12,Sunset,T1 VS DFM
sScary,12,Ascent,BLD VS DFM
Enzo,12,Ascent,KOI VS TL
qRaxs,12,Ascent,VIT VS FUT
Crws,12,Lotus,BLD VS TLN
JessieVash,12,Split,TS VS RRQ
paTiTek,12,Breeze,VIT VS TH
fl1pzjder,12,Ascent,T1 VS RRQ
BeYN,12,Split,GEN VS DRX
Estrella,12,Split,TS VS RRQ
Munchkin,12,Lotus,GEN VS PRX
mindfreak,12,Bind,T1 VS PRX
heat,11,Icebox,KRU VS MIBR
heat,11,Lotus,KRU VS FUR
Sacy,11,Lotus,SEN VS LEV
trent,11,Lotus,G2 VS EG
