Name,First Kills,Map,MatchTeams
QutionerX,10,Sunset,BBL VS TH
QutionerX,9,Split,BBL VS TH
Derke,8,Bind,FNC VS KOI
BuZz,8,Ascent,GE VS DRX
Polvi,8,Breeze,GE VS TLN
t3xture,7,Bind,GEN VS DRX
keznit,7,Lotus,KRU VS FUR
Demon1,7,Breeze,NRG VS LOUD
Governor,7,Icebox,GE VS TLN
Cryocells,7,Icebox,SEN VS 100T
purp0,7,Sunset,KC VS GX
purp0,7,Split,FNC VS GX
Governor,7,Icebox,BLD VS TLN
t3xture,7,Split,GEN VS DFM
TakaS,7,Sunset,BBL VS M8
OXY,7,Ascent,C9 VS LEV
Sayaplayer,7,Lotus,T1 VS DFM
BuZz,7,Ascent,GEN VS DRX
Jremy,7,Icebox,TS VS RRQ
yay,7,Ascent,BLD VS ZETA
marteen,7,Bind,KC VS FUT
Asuna,7,Split,G2 VS 100T
aspas,7,Lotus,SEN VS LEV
Sayaplayer,6,Lotus,T1 VS RRQ
Keiko,6,Lotus,TL VS GX
runneR,6,Icebox,VIT VS FUT
yay,6,Icebox,BLD VS TLN
sScary,6,Lotus,BLD VS DFM
Derke,6,Lotus,FNC VS TH
MiniBoo,6,Icebox,FNC VS TH
ban,6,Breeze,GE VS TLN
Governor,6,Lotus,GE VS TLN
runneR,6,Sunset,VIT VS TH
Klaus,6,Lotus,KRU VS FUR
mwzera,6,Icebox,KRU VS FUR
tomaszy,6,Sunset,KC VS GX
hoody,6,Lotus,TL VS GX
something,6,Lotus,GEN VS PRX
Dep,6,Sunset,BLD VS ZETA
artzin,6,Icebox,KRU VS MIBR
Demon1,6,Breeze,NRG VS FUR
Laz,6,Lotus,BLD VS ZETA
aspas,6,Icebox,SEN VS LEV
Derke,6,Icebox,FNC VS KOI
Meteor,6,Lotus,GEN VS PRX
MiniBoo,6,Breeze,VIT VS TH
something,6,Icebox,GEN VS PRX
Jremy,6,Split,TS VS RRQ
MiniBoo,6,Sunset,VIT VS TH
Meiy,6,Lotus,BLD VS DFM
BuZz,6,Lotus,TS VS DRX
marteen,5,Breeze,KC VS FUT
nataNk,5,Icebox,KC VS M8
Meiy,5,Sunset,T1 VS DFM
Keiko,5,Ascent,TL VS GX
f0rsakeN,5,Bind,T1 VS PRX
NDG,5,Lotus,TS VS ZETA
OXY,5,Lotus,C9 VS EG
stax,5,Split,T1 VS DRX
jzz,5,Sunset,KRU VS MIBR
Sayf,5,Sunset,VIT VS TH
zekken,5,Icebox,SEN VS LEV
Elite,5,Ascent,BBL VS M8
purp0,5,Lotus,TL VS GX
Jremy,5,Sunset,TS VS ZETA
cNed,5,Lotus,KC VS FUT
Keiko,5,Split,KOI VS TL
hiroronn,5,Sunset,GE VS ZETA
