Name,Kills,Map,MatchTeams
aspas,47,Lotus,SEN VS LEV
OXY,35,Ascent,C9 VS LEV
aspas,35,Ascent,C9 VS LEV
OXY,33,Sunset,C9 VS EG
QutionerX,31,Sunset,BBL VS TH
aspas,31,Icebox,C9 VS LEV
Lmemore,30,Icebox,BLD VS RRQ
kiNgg,30,Ascent,C9 VS LEV
hoody,30,Lotus,TL VS GX
Meiy,29,Ascent,T1 VS DFM
JitBoyS,29,Breeze,GE VS TLN
johnqt,29,Lotus,SEN VS LEV
kiNgg,28,Lotus,SEN VS LEV
benjyfishy,28,Sunset,VIT VS TH
OXY,27,Split,C9 VS EG
heat,26,Icebox,KRU VS FUR
tomaszy,26,Sunset,KC VS GX
sScary,26,Lotus,BLD VS DFM
Cryocells,26,Icebox,SEN VS 100T
Derke,26,Breeze,M8 VS FNC
mindfreak,26,Lotus,GEN VS PRX
Jemkin,26,Icebox,TS VS RRQ
Xeppaa,26,Ascent,C9 VS LEV
Leo,26,Lotus,FNC VS TH
iZu,26,Breeze,T1 VS DRX
Less,25,Breeze,NRG VS LOUD
RieNs,25,Lotus,FNC VS TH
Mazino,25,Lotus,SEN VS LEV
ANGE1,25,Bind,VIT VS NAVI
Meiy,25,Lotus,GEN VS DFM
beyAz,25,Sunset,BBL VS M8
BuZz,25,Bind,T1 VS DRX
MiniBoo,25,Icebox,VIT VS TH
nataNk,25,Ascent,BBL VS M8
Keiko,25,Lotus,TL VS GX
Victor,24,Breeze,NRG VS FUR
SugarZ3ro,24,Sunset,BLD VS ZETA
TakaS,24,Sunset,BBL VS M8
Lightningfast,24,Icebox,GE VS TLN
Shao,24,Split,TL VS NAVI
Carpe,24,Bind,T1 VS PRX
Meteor,24,Lotus,GEN VS PRX
tomaszy,24,Sunset,KC VS NAVI
Zest,24,Ascent,BLD VS DFM
Kicks,24,Sunset,VIT VS TH
NaturE,24,Lotus,G2 VS EG
keznit,24,Icebox,KRU VS FUR
Alfajer,24,Lotus,FNC VS TH
Derke,24,Bind,FNC VS KOI
xffero,23,Icebox,BLD VS RRQ
Zellsis,23,Lotus,SEN VS LEV
Foxy9,23,Sunset,TS VS DRX
keznit,23,Lotus,KRU VS FUR
Jremy,23,Split,TS VS RRQ
Cloud,23,Ascent,TL VS GX
nzr,23,Lotus,KRU VS FUR
Mistic,23,Lotus,TL VS GX
Lightningfast,23,Icebox,GE VS ZETA
Boo,23,Lotus,FNC VS TH
t3xture,23,Ascent,GEN VS TLN
iZu,23,Lotus,T1 VS RRQ
neth,23,Sunset,T1 VS DFM
yetujey,23,Lotus,KC VS FUT
