Team,ACS,MatchTeams,Map
ZETA,247.0,GE VS ZETA,Sunset
NRG,244.6,NRG VS FUR,Split
NRG,243.2,NRG VS LOUD,Sunset
C9,238.2,C9 VS EG,Split
G2,237.8,G2 VS EG,Icebox
ZETA,236.8,TS VS ZETA,Lotus
DRX,234.4,T1 VS DRX,Split
VIT,232.8,VIT VS TH,Icebox
FNC,228.6,M8 VS FNC,Lotus
TH,228.6,FNC VS TH,Icebox
C9,227.8,C9 VS EG,Sunset
KC,227.6,KC VS M8,Split
KC,227.4,KC VS M8,Icebox
LEV,227.0,C9 VS LEV,Icebox
GE,226.4,GE VS TLN,Icebox
NAVI,226.2,TL VS NAVI,Ascent
DRX,226.0,T1 VS DRX,Bind
RRQ,226.0,BLD VS RRQ,Icebox
SEN,225.6,SEN VS 100T,Split
TS,224.6,TS VS ZETA,Icebox
TS,223.2,TS VS RRQ,Split
BLD,222.6,BLD VS ZETA,Ascent
FNC,221.6,FNC VS KOI,Icebox
GX,221.4,FNC VS GX,Breeze
FNC,221.2,FNC VS GX,Bind
PRX,220.6,GEN VS PRX,Bind
T1,219.8,T1 VS DFM,Lotus
BBL,219.6,BBL VS TH,Split
FUT,219.6,KC VS FUT,Lotus
FNC,219.4,M8 VS FNC,Breeze
DRX,219.4,TS VS DRX,Lotus
BBL,219.0,BBL VS TH,Sunset
RRQ,218.6,BLD VS RRQ,Lotus
KC,217.4,KC VS GX,Breeze
NAVI,217.0,KC VS NAVI,Split
NAVI,216.8,KC VS NAVI,Sunset
G2,216.6,G2 VS EG,Lotus
PRX,216.6,T1 VS PRX,Lotus
PRX,215.8,GEN VS PRX,Lotus
KRU,215.8,KRU VS FUR,Breeze
TLN,215.2,BLD VS TLN,Bind
BBL,215.0,BBL VS KOI,Icebox
KRU,214.4,KRU VS FUR,Lotus
GEN,214.4,GEN VS TLN,Lotus
EG,213.0,C9 VS EG,Lotus
DRX,213.0,GE VS DRX,Lotus
LEV,212.8,SEN VS LEV,Lotus
RRQ,212.6,TS VS RRQ,Breeze
TLN,212.4,GE VS TLN,Breeze
DFM,212.4,T1 VS DFM,Ascent
DRX,212.2,TS VS DRX,Sunset
VIT,211.4,VIT VS FUT,Icebox
T1,210.8,T1 VS RRQ,Lotus
FUT,210.6,TL VS FUT,Icebox
M8,210.4,BBL VS M8,Sunset
FUT,210.4,VIT VS FUT,Ascent
M8,209.8,BBL VS M8,Ascent
PRX,209.8,T1 VS PRX,Bind
GE,209.8,GE VS ZETA,Icebox
KRU,209.6,KRU VS MIBR,Sunset
TS,209.2,TS VS ZETA,Sunset
VIT,209.0,VIT VS TH,Breeze
VIT,209.0,VIT VS FUT,Sunset
LOUD,208.8,NRG VS LOUD,Breeze
FUT,208.8,KC VS FUT,Breeze
TH,208.6,VIT VS TH,Sunset
TL,208.4,TL VS NAVI,Lotus
NAVI,207.6,VIT VS NAVI,Lotus
KC,207.4,KC VS GX,Sunset
GEN,206.6,GEN VS DFM,Lotus
FUT,206.6,TL VS FUT,Split
100T,206.2,G2 VS 100T,Split
ZETA,206.2,BLD VS ZETA,Sunset
NRG,206.0,NRG VS FUR,Breeze
ZETA,205.8,GE VS ZETA,Icebox
