Team,Assists,MatchTeams,Map
LEV,58,C9 VS LEV,Ascent
KC,52,KC VS GX,Sunset
G2,51,G2 VS 100T,Bind
C9,51,C9 VS LEV,Ascent
TL,49,TL VS GX,Ascent
VIT,49,VIT VS TH,Icebox
BBL,48,BBL VS TH,Sunset
T1,47,T1 VS DFM,Sunset
M8,46,BBL VS M8,Sunset
TH,45,VIT VS TH,Sunset
G2,44,G2 VS EG,Lotus
FUT,44,VIT VS FUT,Ascent
LOUD,43,NRG VS LOUD,Breeze
LEV,42,SEN VS LEV,Lotus
NAVI,42,KC VS NAVI,Sunset
PRX,42,GEN VS PRX,Lotus
SEN,42,SEN VS 100T,Split
T1,42,T1 VS DFM,Ascent
KRU,42,KRU VS FUR,Icebox
FNC,42,FNC VS TH,Lotus
ZETA,42,TS VS ZETA,Icebox
VIT,42,VIT VS TH,Breeze
BLD,41,BLD VS ZETA,Ascent
PRX,41,T1 VS PRX,Bind
KOI,41,FNC VS KOI,Bind
GX,41,KC VS GX,Sunset
TS,41,TS VS ZETA,Sunset
GX,40,TL VS GX,Lotus
TH,40,VIT VS TH,Breeze
VIT,40,VIT VS FUT,Icebox
TL,40,TL VS GX,Lotus
VIT,40,VIT VS FUT,Ascent
KC,39,KC VS NAVI,Sunset
T1,39,T1 VS PRX,Bind
DRX,39,T1 VS DRX,Bind
VIT,39,VIT VS FUT,Sunset
TL,39,TL VS NAVI,Lotus
TH,39,VIT VS TH,Icebox
GEN,38,GEN VS PRX,Lotus
GE,38,GE VS TLN,Breeze
DRX,38,TS VS DRX,Lotus
BBL,38,BBL VS TH,Split
TS,38,TS VS RRQ,Icebox
FUT,38,KC VS FUT,Bind
GX,37,TL VS GX,Ascent
TS,37,TS VS ZETA,Icebox
SEN,37,SEN VS 100T,Icebox
SEN,37,SEN VS LEV,Lotus
100T,37,G2 VS 100T,Bind
EG,37,G2 VS EG,Lotus
NAVI,36,TL VS NAVI,Split
ZETA,36,BLD VS ZETA,Sunset
NAVI,36,TL VS NAVI,Ascent
VIT,36,VIT VS TH,Sunset
NAVI,36,TL VS NAVI,Lotus
GEN,36,GEN VS TLN,Ascent
DFM,36,T1 VS DFM,Sunset
T1,36,T1 VS DFM,Lotus
DFM,36,T1 VS DFM,Ascent
GEN,35,GEN VS DFM,Split
NAVI,35,VIT VS NAVI,Bind
PRX,35,T1 VS PRX,Lotus
TH,35,BBL VS TH,Sunset
FUT,35,VIT VS FUT,Icebox
DRX,35,T1 VS DRX,Split
TL,35,KOI VS TL,Ascent
TS,35,TS VS RRQ,Split
ZETA,35,BLD VS ZETA,Lotus
KC,35,KC VS NAVI,Split
KC,34,KC VS NAVI,Bind
C9,34,C9 VS LEV,Sunset
M8,34,BBL VS M8,Ascent
TH,34,FNC VS TH,Lotus
C9,34,C9 VS EG,Split
BLD,34,BLD VS ZETA,Lotus
GEN,34,GEN VS PRX,Icebox
FNC,34,M8 VS FNC,Lotus
KC,33,KC VS FUT,Bind
GEN,33,GEN VS TLN,Lotus
VIT,33,VIT VS NAVI,Bind
FNC,33,FNC VS GX,Bind
C9,33,C9 VS EG,Sunset
PRX,33,GEN VS PRX,Icebox
ZETA,32,GE VS ZETA,Icebox
FUT,32,KC VS FUT,Lotus
T1,32,T1 VS RRQ,Ascent
DRX,32,GE VS DRX,Ascent
GE,32,GE VS ZETA,Ascent
DRX,32,TS VS DRX,Sunset
TS,32,TS VS DRX,Sunset
TS,32,TS VS RRQ,Breeze
TL,31,TL VS NAVI,Split
TH,31,FNC VS TH,Icebox
FUT,31,TL VS FUT,Icebox
KRU,31,KRU VS FUR,Breeze
100T,31,G2 VS 100T,Split
NAVI,31,KC VS NAVI,Bind
G2,31,G2 VS EG,Icebox
ZETA,31,GE VS ZETA,Ascent
RRQ,30,TS VS RRQ,Icebox
LEV,30,SEN VS LEV,Icebox
GE,30,GE VS DRX,Ascent
PRX,30,GEN VS PRX,Bind
FUT,30,KC VS FUT,Breeze
ZETA,30,TS VS ZETA,Sunset
KOI,30,KOI VS TL,Ascent
ZETA,30,BLD VS ZETA,Ascent
EG,30,C9 VS EG,Lotus
TS,30,TS VS DRX,Lotus
NRG,29,NRG VS FUR,Split
TL,29,TL VS GX,Icebox
ZETA,29,TS VS ZETA,Lotus
RRQ,29,TS VS RRQ,Breeze
KC,29,KC VS M8,Split
SEN,29,SEN VS LEV,Icebox
T1,28,T1 VS DRX,Breeze
GE,28,GE VS ZETA,Icebox
NAVI,28,KC VS NAVI,Split
BBL,28,BBL VS M8,Ascent
