Team,First Kills,MatchTeams,Map
LEV,21,SEN VS LEV,Lotus
FNC,19,FNC VS TH,Lotus
LEV,17,C9 VS LEV,Ascent
C9,17,C9 VS LEV,Ascent
PRX,16,GEN VS PRX,Icebox
KRU,16,KRU VS FUR,Lotus
TS,16,TS VS RRQ,Icebox
GX,16,TL VS GX,Lotus
BBL,16,BBL VS TH,Sunset
ZETA,15,BLD VS ZETA,Lotus
SEN,15,SEN VS LEV,Lotus
PRX,15,T1 VS PRX,Bind
TL,15,TL VS NAVI,Lotus
BLD,15,BLD VS ZETA,Ascent
PRX,14,T1 VS PRX,Lotus
NRG,14,NRG VS LOUD,Breeze
FNC,14,FNC VS KOI,Bind
NAVI,14,KC VS NAVI,Sunset
GE,14,GE VS TLN,Breeze
GE,14,GE VS ZETA,Icebox
TS,14,TS VS ZETA,Icebox
DRX,14,T1 VS DRX,Split
FUT,14,KC VS FUT,Lotus
FUR,14,KRU VS FUR,Icebox
TL,14,TL VS GX,Lotus
100T,14,SEN VS 100T,Icebox
TH,14,VIT VS TH,Breeze
SEN,13,SEN VS LEV,Icebox
T1,13,T1 VS RRQ,Ascent
EG,13,C9 VS EG,Lotus
G2,13,G2 VS EG,Lotus
T1,13,T1 VS DFM,Lotus
GEN,13,GEN VS DFM,Lotus
T1,13,T1 VS DFM,Sunset
TH,13,FNC VS TH,Lotus
FNC,13,M8 VS FNC,Lotus
DRX,13,GEN VS DRX,Bind
GEN,13,GEN VS TLN,Lotus
KC,13,KC VS FUT,Bind
BLD,13,BLD VS TLN,Lotus
100T,13,G2 VS 100T,Split
NAVI,13,TL VS NAVI,Split
ZETA,13,BLD VS ZETA,Sunset
TS,13,TS VS RRQ,Breeze
GX,13,TL VS GX,Ascent
NAVI,13,VIT VS NAVI,Bind
VIT,13,VIT VS FUT,Sunset
KRU,12,KRU VS FUR,Breeze
M8,12,BBL VS M8,Sunset
FUT,12,TL VS FUT,Icebox
T1,12,T1 VS DRX,Breeze
GEN,12,GEN VS DFM,Split
GEN,12,GEN VS DRX,Ascent
G2,12,G2 VS 100T,Bind
T1,12,T1 VS DFM,Ascent
GX,12,KC VS GX,Sunset
GX,12,FNC VS GX,Split
GX,12,FNC VS GX,Breeze
PRX,12,GEN VS PRX,Lotus
LEV,12,C9 VS LEV,Sunset
GEN,12,GEN VS PRX,Lotus
FUT,12,KC VS FUT,Breeze
LEV,12,C9 VS LEV,Icebox
DRX,12,T1 VS DRX,Bind
TL,12,KOI VS TL,Ascent
DRX,12,GEN VS DRX,Split
VIT,12,VIT VS TH,Sunset
BBL,12,BBL VS M8,Sunset
VIT,12,VIT VS FUT,Icebox
EG,12,C9 VS EG,Sunset
TLN,12,GE VS TLN,Icebox
ZETA,12,GE VS ZETA,Ascent
TH,12,VIT VS TH,Sunset
C9,12,C9 VS EG,Split
TH,12,VIT VS TH,Icebox
FNC,12,M8 VS FNC,Breeze
TH,12,FNC VS TH,Icebox
TS,12,TS VS DRX,Sunset
TLN,12,GE VS TLN,Breeze
PRX,11,GEN VS PRX,Bind
BLD,11,BLD VS DFM,Lotus
NRG,11,NRG VS FUR,Breeze
NAVI,11,VIT VS NAVI,Lotus
KC,11,KC VS M8,Split
T1,11,T1 VS PRX,Bind
BLD,11,BLD VS DFM,Ascent
NAVI,11,KC VS NAVI,Bind
BBL,11,BBL VS TH,Split
DFM,11,BLD VS DFM,Lotus
M8,11,KC VS M8,Icebox
KOI,11,KOI VS TL,Split
BBL,11,BBL VS M8,Ascent
BBL,11,BBL VS KOI,Breeze
KRU,11,KRU VS MIBR,Sunset
ZETA,11,TS VS ZETA,Lotus
TS,11,TS VS DRX,Lotus
TLN,11,GEN VS TLN,Ascent
DFM,11,BLD VS DFM,Split
TL,11,TL VS GX,Ascent
GE,11,GE VS DRX,Lotus
FUT,11,KC VS FUT,Bind
TL,11,TL VS NAVI,Split
TLN,11,BLD VS TLN,Icebox
