Team,Rating,MatchTeams,Map
ZETA,1.494,GE VS ZETA,Sunset
FNC,1.436,M8 VS FNC,Lotus
G2,1.416,G2 VS EG,Icebox
C9,1.4120000000000001,C9 VS EG,Split
DRX,1.364,T1 VS DRX,Split
BLD,1.358,BLD VS DFM,Ascent
RRQ,1.356,BLD VS RRQ,Lotus
NRG,1.344,NRG VS FUR,Split
NRG,1.308,NRG VS LOUD,Sunset
KC,1.304,KC VS GX,Breeze
GX,1.302,FNC VS GX,Breeze
KRU,1.284,KRU VS FUR,Breeze
T1,1.284,T1 VS RRQ,Ascent
KC,1.28,KC VS M8,Split
NAVI,1.27,TL VS NAVI,Ascent
FNC,1.268,FNC VS KOI,Icebox
NAVI,1.266,VIT VS NAVI,Lotus
TS,1.262,TS VS RRQ,Split
ZETA,1.262,TS VS ZETA,Lotus
GE,1.252,GE VS TLN,Icebox
LEV,1.24,C9 VS LEV,Icebox
KC,1.24,KC VS M8,Icebox
FUT,1.24,KC VS FUT,Lotus
T1,1.238,T1 VS DFM,Lotus
BBL,1.234,BBL VS KOI,Breeze
DRX,1.232,T1 VS DRX,Bind
SEN,1.226,SEN VS 100T,Split
TH,1.226,FNC VS TH,Icebox
FUT,1.222,KC VS FUT,Breeze
FNC,1.222,FNC VS GX,Bind
PRX,1.222,GEN VS PRX,Bind
RRQ,1.218,BLD VS RRQ,Icebox
DRX,1.214,GEN VS DRX,Split
C9,1.2040000000000002,C9 VS EG,Sunset
G2,1.2040000000000002,G2 VS EG,Lotus
TLN,1.202,BLD VS TLN,Icebox
DRX,1.1960000000000002,GE VS DRX,Lotus
FUT,1.194,TL VS FUT,Split
TS,1.19,TS VS ZETA,Sunset
FNC,1.186,FNC VS GX,Split
DRX,1.184,TS VS DRX,Lotus
M8,1.184,BBL VS M8,Ascent
100T,1.182,G2 VS 100T,Split
BBL,1.18,BBL VS KOI,Icebox
TL,1.18,TL VS NAVI,Lotus
BBL,1.1780000000000002,BBL VS TH,Split
C9,1.176,C9 VS LEV,Sunset
FUT,1.17,VIT VS FUT,Ascent
GEN,1.168,GEN VS DFM,Lotus
KRU,1.166,KRU VS FUR,Lotus
BLD,1.166,BLD VS ZETA,Ascent
DFM,1.1640000000000001,T1 VS DFM,Ascent
FNC,1.162,M8 VS FNC,Breeze
VIT,1.16,VIT VS TH,Icebox
BBL,1.158,BBL VS TH,Sunset
DRX,1.158,GEN VS DRX,Bind
NAVI,1.158,KC VS NAVI,Sunset
GEN,1.154,GEN VS TLN,Ascent
DRX,1.152,TS VS DRX,Sunset
TLN,1.1460000000000001,GE VS TLN,Lotus
LEV,1.144,SEN VS LEV,Lotus
