Name,ACS,MatchTeams,Date
OXY,372.33,C9 VS EG,April 15th 2024
Lmemore,328.5,BLD VS RRQ,April 14th 2024
QutionerX,322.0,BBL VS TH,April 18th 2024
aspas,313.5,SEN VS LEV,April 13th 2024
Derke,313.0,M8 VS FNC,April 17th 2024
Derke,312.0,FNC VS KOI,April 19th 2024
aspas,306.33,C9 VS LEV,April 6th 2024
Victor,304.5,NRG VS FUR,April 14th 2024
NaturE,302.5,G2 VS EG,April 7th 2024
Demon1,302.5,NRG VS LOUD,April 6th 2024
nataNk,291.5,BBL VS M8,April 5th 2024
Meiy,291.33,T1 VS DFM,April 9th 2024
Meiy,289.0,GEN VS DFM,April 15th 2024
BuZz,287.67,T1 VS DRX,April 13th 2024
Dep,284.33,GE VS ZETA,April 6th 2024
MiniBoo,283.67,VIT VS TH,April 10th 2024
keznit,283.0,KRU VS FUR,April 8th 2024
N4RRATE,282.0,KC VS M8,April 12th 2024
MaKo,280.0,T1 VS DRX,April 13th 2024
xffero,276.0,BLD VS RRQ,April 14th 2024
valyn,274.0,G2 VS EG,April 7th 2024
runneR,274.0,VIT VS NAVI,April 4th 2024
t3xture,273.0,GEN VS TLN,April 9th 2024
tomaszy,273.0,KC VS NAVI,April 17th 2024
Lightningfast,273.0,GE VS TLN,April 15th 2024
Demon1,271.5,NRG VS FUR,April 14th 2024
keznit,268.0,KRU VS MIBR,April 14th 2024
Jremy,267.0,TS VS RRQ,April 8th 2024
Elite,264.5,BBL VS M8,April 5th 2024
Chronicle,264.5,M8 VS FNC,April 17th 2024
Dep,263.67,TS VS ZETA,April 14th 2024
Less,263.5,NRG VS LOUD,April 6th 2024
something,260.33,GEN VS PRX,April 13th 2024
nataNk,259.5,M8 VS FNC,April 17th 2024
heat,259.33,KRU VS FUR,April 8th 2024
MiniBoo,258.5,FNC VS TH,April 4th 2024
trexx,257.0,VIT VS FUT,April 18th 2024
Elite,256.5,BBL VS KOI,April 11th 2024
BuZz,256.0,TS VS DRX,April 6th 2024
BuZz,254.5,GE VS DRX,April 8th 2024
Sayaplayer,254.0,T1 VS RRQ,April 16th 2024
TakaS,253.5,BBL VS M8,April 5th 2024
Zest,252.0,BLD VS DFM,April 20th 2024
N4RRATE,252.0,KC VS GX,April 3rd 2024
Alfajer,251.67,FNC VS GX,April 12th 2024
grubinho,251.5,FNC VS KOI,April 19th 2024
JonahP,251.5,G2 VS EG,April 7th 2024
JitBoyS,248.67,BLD VS TLN,April 7th 2024
tomaszy,248.5,KC VS M8,April 12th 2024
nAts,248.0,KOI VS TL,April 3rd 2024
Cryocells,247.0,SEN VS 100T,April 7th 2024
tomaszy,246.5,KC VS GX,April 3rd 2024
Jemkin,246.33,TS VS RRQ,April 8th 2024
ardiis,246.0,KC VS NAVI,April 17th 2024
cNed,246.0,KC VS FUT,April 10th 2024
trent,245.5,G2 VS 100T,April 13th 2024
Keiko,242.5,TL VS FUT,April 5th 2024
Brave,242.0,BBL VS KOI,April 11th 2024
beyAz,241.5,BBL VS M8,April 5th 2024
OXY,240.67,C9 VS LEV,April 6th 2024
trent,240.5,G2 VS EG,April 7th 2024
sScary,240.0,BLD VS DFM,April 20th 2024
Lmemore,239.5,T1 VS RRQ,April 16th 2024
f0rsakeN,239.5,T1 VS PRX,April 7th 2024
t3xture,239.0,GEN VS DFM,April 15th 2024
zekken,238.5,SEN VS 100T,April 7th 2024
nataNk,237.5,KC VS M8,April 12th 2024
Foxy9,237.5,TS VS DRX,April 6th 2024
invy,237.5,TS VS DRX,April 6th 2024
sScary,237.5,BLD VS RRQ,April 14th 2024
Laz,237.33,BLD VS ZETA,April 16th 2024
Foxy9,235.0,GE VS DRX,April 8th 2024
Laz,234.67,GE VS ZETA,April 6th 2024
leaf,234.5,G2 VS EG,April 7th 2024
