Name,Assists,MatchTeams,Date
Rossy,43,T1 VS DFM,April 9th 2024
heat,39,KRU VS FUR,April 8th 2024
trexx,39,VIT VS FUT,April 18th 2024
paTiTek,38,VIT VS TH,April 10th 2024
Redgar,37,TL VS GX,April 19th 2024
TenZ,35,SEN VS 100T,April 7th 2024
MAGNUM,35,KC VS NAVI,April 17th 2024
trexx,35,VIT VS TH,April 10th 2024
d4v41,34,GEN VS PRX,April 13th 2024
Xeppaa,34,C9 VS LEV,April 6th 2024
Estrella,33,TS VS RRQ,April 8th 2024
invy,33,TS VS RRQ,April 8th 2024
Kicks,33,VIT VS TH,April 10th 2024
ardiis,33,KC VS NAVI,April 17th 2024
qRaxs,32,VIT VS FUT,April 18th 2024
AtaKaptan,31,VIT VS FUT,April 18th 2024
Carpe,31,T1 VS DFM,April 9th 2024
Munchkin,31,GEN VS PRX,April 13th 2024
Mistic,30,TL VS NAVI,April 11th 2024
kiNgg,30,C9 VS LEV,April 6th 2024
invy,30,TS VS ZETA,April 14th 2024
sScary,30,BLD VS ZETA,April 16th 2024
BORKUM,29,TS VS RRQ,April 8th 2024
SugarZ3ro,29,BLD VS ZETA,April 16th 2024
Boo,29,VIT VS TH,April 10th 2024
MaKo,28,T1 VS DRX,April 13th 2024
ardiis,28,TL VS NAVI,April 11th 2024
SugarZ3ro,28,GE VS ZETA,April 6th 2024
vanity,27,C9 VS LEV,April 6th 2024
Enzo,27,TL VS GX,April 19th 2024
SugarZ3ro,27,TS VS ZETA,April 14th 2024
hiroronn,27,BLD VS ZETA,April 16th 2024
iZu,27,T1 VS DFM,April 9th 2024
hiroronn,26,TS VS ZETA,April 14th 2024
Mistic,26,TL VS GX,April 19th 2024
mindfreak,26,T1 VS PRX,April 7th 2024
qRaxs,26,KC VS FUT,April 10th 2024
sh1n,26,KC VS GX,April 3rd 2024
mindfreak,26,GEN VS PRX,April 13th 2024
JessieVash,25,TS VS RRQ,April 8th 2024
ceNder,25,VIT VS TH,April 10th 2024
beyAz,25,BBL VS M8,April 5th 2024
SSeeS,25,T1 VS DFM,April 9th 2024
reazy,25,BBL VS TH,April 18th 2024
Kicks,25,VIT VS FUT,April 18th 2024
JonahP,25,G2 VS 100T,April 13th 2024
MrFaliN,25,KC VS FUT,April 10th 2024
Shao,25,KC VS NAVI,April 17th 2024
nAts,25,TL VS GX,April 19th 2024
MiniBoo,25,VIT VS TH,April 10th 2024
Anthem,25,T1 VS DFM,April 9th 2024
BeYN,25,T1 VS DRX,April 13th 2024
Shao,25,TL VS NAVI,April 11th 2024
TenZ,25,SEN VS LEV,April 13th 2024
AtaKaptan,25,KC VS FUT,April 10th 2024
pAura,24,BBL VS TH,April 18th 2024
Zest,24,BLD VS ZETA,April 16th 2024
Karon,24,GEN VS PRX,April 13th 2024
sh1n,24,KC VS NAVI,April 17th 2024
stax,24,GE VS DRX,April 8th 2024
JessieVash,24,TS VS ZETA,April 14th 2024
starxo,23,FNC VS KOI,April 19th 2024
Derrek,23,C9 VS EG,April 15th 2024
Fit1nho,23,TL VS GX,April 19th 2024
RieNs,23,VIT VS TH,April 10th 2024
MAGNUM,23,KC VS GX,April 3rd 2024
trent,23,G2 VS 100T,April 13th 2024
iZu,23,T1 VS PRX,April 7th 2024
Lakia,23,GEN VS PRX,April 13th 2024
Carpe,22,T1 VS DRX,April 13th 2024
C0M,22,SEN VS LEV,April 13th 2024
Boaster,22,FNC VS GX,April 12th 2024
Melser,22,KRU VS FUR,April 8th 2024
Xeppaa,22,C9 VS EG,April 15th 2024
Lakia,22,GEN VS TLN,April 9th 2024
Cryocells,22,G2 VS 100T,April 13th 2024
runi,22,C9 VS EG,April 15th 2024
Russ,22,GE VS ZETA,April 6th 2024
Zyppan,22,TL VS NAVI,April 11th 2024
ban,22,BLD VS TLN,April 7th 2024
Lmemore,22,TS VS RRQ,April 8th 2024
BeYN,21,TS VS DRX,April 6th 2024
iZu,21,T1 VS RRQ,April 16th 2024
Mazino,21,SEN VS LEV,April 13th 2024
yuran,21,TS VS ZETA,April 14th 2024
hoody,21,TL VS GX,April 19th 2024
vanity,21,C9 VS EG,April 15th 2024
runneR,21,VIT VS TH,April 10th 2024
Brave,21,BBL VS TH,April 18th 2024
ANGE1,21,TL VS NAVI,April 11th 2024
ardiis,21,VIT VS NAVI,April 4th 2024
Lightningfast,21,GE VS TLN,April 15th 2024
Leo,21,FNC VS GX,April 12th 2024
Dep,21,BLD VS ZETA,April 16th 2024
bang,21,G2 VS 100T,April 13th 2024
tex,21,C9 VS LEV,April 6th 2024
N4RRATE,20,KC VS FUT,April 10th 2024
NaturE,20,C9 VS EG,April 15th 2024
Sayf,20,VIT VS FUT,April 18th 2024
Keiko,20,TL VS GX,April 19th 2024
MaKo,20,TS VS DRX,April 6th 2024
nzr,20,KRU VS FUR,April 8th 2024
runi,20,C9 VS LEV,April 6th 2024
sh1n,20,KC VS FUT,April 10th 2024
Jamppi,20,TL VS NAVI,April 11th 2024
Enzo,20,KOI VS TL,April 3rd 2024
Jamppi,20,TL VS GX,April 19th 2024
ceNder,20,VIT VS FUT,April 18th 2024
Boaster,20,FNC VS KOI,April 19th 2024
Boaster,20,FNC VS TH,April 4th 2024
hiroronn,20,GE VS ZETA,April 6th 2024
fl1pzjder,20,T1 VS RRQ,April 16th 2024
RieNs,19,FNC VS TH,April 4th 2024
stax,19,T1 VS DRX,April 13th 2024
JessieVash,19,TS VS DRX,April 6th 2024
Deryeon,19,BLD VS ZETA,April 16th 2024
BORKUM,19,TS VS ZETA,April 14th 2024
tomaszy,19,KC VS NAVI,April 17th 2024
pAura,19,BBL VS M8,April 5th 2024
yuran,19,BLD VS ZETA,April 16th 2024
Crws,19,BLD VS TLN,April 7th 2024
JonahP,19,G2 VS EG,April 7th 2024
TakaS,19,BBL VS M8,April 5th 2024
sScary,18,BLD VS TLN,April 7th 2024
supamen,18,C9 VS EG,April 15th 2024
moose,18,C9 VS LEV,April 6th 2024
Boo,18,BBL VS TH,April 18th 2024
trent,18,G2 VS EG,April 7th 2024
Lightningfast,18,GE VS ZETA,April 6th 2024
saadhak,18,NRG VS LOUD,April 6th 2024
Jremy,17,TS VS ZETA,April 14th 2024
Karon,17,GEN VS DFM,April 15th 2024
JitBoyS,17,BLD VS TLN,April 7th 2024
valyn,17,G2 VS EG,April 7th 2024
Foxy9,17,T1 VS DRX,April 13th 2024
Munchkin,17,GEN VS DFM,April 15th 2024
Rossy,17,T1 VS RRQ,April 16th 2024
Klaus,17,KRU VS MIBR,April 14th 2024
Sayaplayer,17,T1 VS DFM,April 9th 2024
trexx,17,VIT VS NAVI,April 4th 2024
Lakia,17,GEN VS DFM,April 15th 2024
f0rsakeN,17,T1 VS PRX,April 7th 2024
d4v41,17,T1 VS PRX,April 7th 2024
Sacy,17,SEN VS 100T,April 7th 2024
Chronicle,17,M8 VS FNC,April 17th 2024
Cloud,17,FNC VS GX,April 12th 2024
cNed,16,KC VS FUT,April 10th 2024
grubinho,16,FNC VS KOI,April 19th 2024
bang,16,SEN VS 100T,April 7th 2024
f0rsakeN,16,GEN VS PRX,April 13th 2024
cauanzin,16,NRG VS LOUD,April 6th 2024
Sacy,16,SEN VS LEV,April 13th 2024
SUYGETSU,16,KC VS NAVI,April 17th 2024
johnqt,16,SEN VS LEV,April 13th 2024
