Name,First Kills,MatchTeams,Date
QutionerX,19,BBL VS TH,April 18th 2024
Jremy,17,TS VS RRQ,April 8th 2024
MiniBoo,17,VIT VS TH,April 10th 2024
Keiko,16,TL VS GX,April 19th 2024
Sayaplayer,16,T1 VS DFM,April 9th 2024
Governor,16,GE VS TLN,April 15th 2024
yay,15,BLD VS TLN,April 7th 2024
OXY,15,C9 VS LEV,April 6th 2024
OXY,15,C9 VS EG,April 15th 2024
something,14,GEN VS PRX,April 13th 2024
Derke,14,FNC VS KOI,April 19th 2024
yay,14,BLD VS ZETA,April 16th 2024
Polvi,14,GE VS TLN,April 15th 2024
keznit,14,KRU VS FUR,April 8th 2024
marteen,14,KC VS FUT,April 10th 2024
aspas,13,SEN VS LEV,April 13th 2024
Governor,13,BLD VS TLN,April 7th 2024
Laz,13,BLD VS ZETA,April 16th 2024
Zyppan,12,KC VS NAVI,April 17th 2024
Demon1,12,NRG VS LOUD,April 6th 2024
tex,12,C9 VS LEV,April 6th 2024
jawgemo,12,C9 VS EG,April 15th 2024
Asuna,12,G2 VS 100T,April 13th 2024
purp0,11,TL VS GX,April 19th 2024
cNed,11,VIT VS FUT,April 18th 2024
Klaus,11,KRU VS FUR,April 8th 2024
BuZz,11,GE VS DRX,April 8th 2024
Polvi,11,GE VS ZETA,April 6th 2024
runneR,11,VIT VS TH,April 10th 2024
Zyppan,11,TL VS NAVI,April 11th 2024
marteen,11,KC VS NAVI,April 17th 2024
Sayaplayer,11,T1 VS RRQ,April 16th 2024
Meiy,11,T1 VS DFM,April 9th 2024
Jremy,11,TS VS ZETA,April 14th 2024
MiniBoo,11,FNC VS TH,April 4th 2024
purp0,11,FNC VS GX,April 12th 2024
Dep,10,BLD VS ZETA,April 16th 2024
Dep,10,TS VS ZETA,April 14th 2024
ban,10,GE VS TLN,April 15th 2024
TakaS,10,BBL VS M8,April 5th 2024
Fit1nho,10,FNC VS GX,April 12th 2024
Enzo,10,TL VS NAVI,April 11th 2024
iZu,10,T1 VS DFM,April 9th 2024
NDG,10,TS VS ZETA,April 14th 2024
Meiy,10,GEN VS DFM,April 15th 2024
BuZz,10,TS VS DRX,April 6th 2024
MaKo,10,T1 VS DRX,April 13th 2024
C0M,9,C9 VS LEV,April 6th 2024
Cryocells,9,SEN VS 100T,April 7th 2024
Elite,9,BBL VS M8,April 5th 2024
Jremy,9,TS VS DRX,April 6th 2024
aspas,9,C9 VS LEV,April 6th 2024
Meteor,9,GEN VS PRX,April 13th 2024
yetujey,9,KC VS FUT,April 10th 2024
runneR,9,VIT VS FUT,April 18th 2024
purp0,9,KC VS GX,April 3rd 2024
Demon1,9,NRG VS FUR,April 14th 2024
mwzera,9,KRU VS FUR,April 8th 2024
Sayf,9,VIT VS TH,April 10th 2024
Laz,9,GE VS ZETA,April 6th 2024
cNed,9,KC VS FUT,April 10th 2024
trexx,9,VIT VS FUT,April 18th 2024
t3xture,9,GEN VS DFM,April 15th 2024
Redgar,9,TL VS GX,April 19th 2024
Keiko,9,TL VS NAVI,April 11th 2024
BuZz,9,T1 VS DRX,April 13th 2024
MrFaliN,8,VIT VS FUT,April 18th 2024
Jemkin,8,TS VS RRQ,April 8th 2024
ban,8,BLD VS TLN,April 7th 2024
AtaKaptan,8,TL VS FUT,April 5th 2024
d4v41,8,GEN VS PRX,April 13th 2024
runneR,8,VIT VS NAVI,April 4th 2024
pAura,8,BBL VS KOI,April 11th 2024
BORKUM,8,TS VS RRQ,April 8th 2024
