Name,HS Rate,MatchTeams,Date
Demon1,0.52,NRG VS FUR,April 14th 2024
logaN,0.51,M8 VS FNC,April 17th 2024
Redgar,0.5,FNC VS GX,April 12th 2024
Elite,0.5,BBL VS KOI,April 11th 2024
crashies,0.49,NRG VS FUR,April 14th 2024
havoc,0.48,KRU VS FUR,April 8th 2024
JitBoyS,0.48,GE VS TLN,April 15th 2024
Fit1nho,0.47,KC VS GX,April 3rd 2024
Russ,0.46,GE VS DRX,April 8th 2024
JitBoyS,0.45,GEN VS TLN,April 9th 2024
Boo,0.45,FNC VS TH,April 4th 2024
SSeeS,0.45,GEN VS DFM,April 15th 2024
sheydos,0.45,KOI VS TL,April 3rd 2024
ANGE1,0.44,VIT VS NAVI,April 4th 2024
Keiko,0.44,KOI VS TL,April 3rd 2024
Elite,0.43,BBL VS TH,April 18th 2024
heat,0.43,KRU VS MIBR,April 14th 2024
ceNder,0.42,VIT VS NAVI,April 4th 2024
purp0,0.42,FNC VS GX,April 12th 2024
havoc,0.41,NRG VS FUR,April 14th 2024
jzz,0.41,KRU VS MIBR,April 14th 2024
Lightningfast,0.41,GE VS ZETA,April 6th 2024
Jemkin,0.4,TS VS RRQ,April 8th 2024
Brave,0.4,BBL VS TH,April 18th 2024
Mistic,0.4,KOI VS TL,April 3rd 2024
grubinho,0.4,FNC VS KOI,April 19th 2024
Apoth,0.4,C9 VS EG,April 15th 2024
supamen,0.4,G2 VS EG,April 7th 2024
SUYGETSU,0.4,VIT VS NAVI,April 4th 2024
Elite,0.4,BBL VS M8,April 5th 2024
NaturE,0.39,C9 VS EG,April 15th 2024
heat,0.39,KRU VS FUR,April 8th 2024
Surf,0.39,BLD VS TLN,April 7th 2024
f0rsakeN,0.39,T1 VS PRX,April 7th 2024
MiniBoo,0.39,FNC VS TH,April 4th 2024
Alfajer,0.39,FNC VS KOI,April 19th 2024
starxo,0.39,BBL VS KOI,April 11th 2024
ShadoW,0.39,FNC VS KOI,April 19th 2024
tomaszy,0.39,KC VS NAVI,April 17th 2024
mindfreak,0.39,GEN VS PRX,April 13th 2024
Zest,0.39,BLD VS TLN,April 7th 2024
Mazino,0.39,C9 VS LEV,April 6th 2024
hiroronn,0.39,TS VS ZETA,April 14th 2024
crashies,0.39,NRG VS LOUD,April 6th 2024
Rossy,0.39,T1 VS RRQ,April 16th 2024
RieNs,0.39,FNC VS TH,April 4th 2024
Medusa,0.39,GEN VS DFM,April 15th 2024
Melser,0.39,KRU VS MIBR,April 14th 2024
Deryeon,0.38,BLD VS TLN,April 7th 2024
