Name,Kast,MatchTeams,Date
xffero,0.91,BLD VS RRQ,April 14th 2024
N4RRATE,0.9,KC VS GX,April 3rd 2024
trent,0.89,G2 VS EG,April 7th 2024
Jemkin,0.89,BLD VS RRQ,April 14th 2024
BeYN,0.89,T1 VS DRX,April 13th 2024
beyAz,0.89,BBL VS M8,April 5th 2024
Demon1,0.88,NRG VS LOUD,April 6th 2024
Lmemore,0.88,BLD VS RRQ,April 14th 2024
crashies,0.88,NRG VS LOUD,April 6th 2024
crashies,0.88,NRG VS FUR,April 14th 2024
MaKo,0.88,T1 VS DRX,April 13th 2024
BeYN,0.87,GE VS DRX,April 8th 2024
Zellsis,0.86,SEN VS 100T,April 7th 2024
tomaszy,0.85,KC VS GX,April 3rd 2024
Mistic,0.85,KOI VS TL,April 3rd 2024
Chronicle,0.85,M8 VS FNC,April 17th 2024
Klaus,0.85,KRU VS MIBR,April 14th 2024
mindfreak,0.85,GEN VS PRX,April 13th 2024
iZu,0.85,T1 VS RRQ,April 16th 2024
Jinggg,0.85,T1 VS PRX,April 7th 2024
Kicks,0.85,VIT VS TH,April 10th 2024
Elite,0.85,BBL VS KOI,April 11th 2024
BuZz,0.85,T1 VS DRX,April 13th 2024
sh1n,0.85,KC VS GX,April 3rd 2024
xccurate,0.84,T1 VS RRQ,April 16th 2024
OXY,0.84,C9 VS EG,April 15th 2024
something,0.84,T1 VS PRX,April 7th 2024
Elite,0.84,BBL VS TH,April 18th 2024
invy,0.84,TS VS RRQ,April 8th 2024
Laz,0.84,GE VS ZETA,April 6th 2024
heat,0.83,KRU VS FUR,April 8th 2024
SugarZ3ro,0.83,GE VS ZETA,April 6th 2024
Munchkin,0.83,GEN VS DFM,April 15th 2024
Derke,0.83,M8 VS FNC,April 17th 2024
Leo,0.83,M8 VS FNC,April 17th 2024
Foxy9,0.82,GE VS DRX,April 8th 2024
MAGNUM,0.82,KC VS GX,April 3rd 2024
Estrella,0.82,BLD VS RRQ,April 14th 2024
valyn,0.82,G2 VS EG,April 7th 2024
stax,0.82,T1 VS DRX,April 13th 2024
Sayaplayer,0.82,T1 VS PRX,April 7th 2024
MaKo,0.82,GE VS DRX,April 8th 2024
MrFaliN,0.82,TL VS FUT,April 5th 2024
hiroronn,0.82,TS VS ZETA,April 14th 2024
Shao,0.82,VIT VS NAVI,April 4th 2024
SugarZ3ro,0.82,TS VS ZETA,April 14th 2024
something,0.82,GEN VS PRX,April 13th 2024
Zest,0.82,BLD VS ZETA,April 16th 2024
Carpe,0.82,T1 VS DFM,April 9th 2024
tomaszy,0.81,KC VS M8,April 12th 2024
MAGNUM,0.81,KC VS M8,April 12th 2024
Brave,0.81,BBL VS TH,April 18th 2024
Demon1,0.81,NRG VS FUR,April 14th 2024
tomaszy,0.81,KC VS NAVI,April 17th 2024
trexx,0.81,VIT VS FUT,April 18th 2024
MaKo,0.81,TS VS DRX,April 6th 2024
leaf,0.81,G2 VS EG,April 7th 2024
Lakia,0.81,GEN VS DFM,April 15th 2024
Chronicle,0.8,FNC VS KOI,April 19th 2024
Zyppan,0.8,VIT VS NAVI,April 4th 2024
cNed,0.8,KC VS FUT,April 10th 2024
Russ,0.8,GE VS DRX,April 8th 2024
stax,0.8,GE VS DRX,April 8th 2024
RieNs,0.8,FNC VS TH,April 4th 2024
trexx,0.8,VIT VS TH,April 10th 2024
logaN,0.8,BBL VS M8,April 5th 2024
SUYGETSU,0.79,VIT VS NAVI,April 4th 2024
reazy,0.79,BBL VS TH,April 18th 2024
SSeeS,0.79,T1 VS DFM,April 9th 2024
nAts,0.79,TL VS GX,April 19th 2024
marteen,0.79,KC VS M8,April 12th 2024
bang,0.79,G2 VS 100T,April 13th 2024
Victor,0.79,NRG VS FUR,April 14th 2024
Fit1nho,0.79,KC VS GX,April 3rd 2024
purp0,0.79,FNC VS GX,April 12th 2024
Enzo,0.79,KOI VS TL,April 3rd 2024
QutionerX,0.79,BBL VS M8,April 5th 2024
f0rsakeN,0.79,GEN VS PRX,April 13th 2024
Marved,0.79,NRG VS FUR,April 14th 2024
Shao,0.79,TL VS NAVI,April 11th 2024
BeYN,0.79,TS VS DRX,April 6th 2024
nAts,0.79,KOI VS TL,April 3rd 2024
JonahP,0.78,G2 VS 100T,April 13th 2024
MiniBoo,0.78,FNC VS TH,April 4th 2024
Boo,0.78,FNC VS TH,April 4th 2024
