Name,Kills,MatchTeams,Date
aspas,78,C9 VS LEV,April 6th 2024
OXY,76,C9 VS EG,April 15th 2024
MiniBoo,69,VIT VS TH,April 10th 2024
aspas,68,SEN VS LEV,April 13th 2024
keznit,66,KRU VS FUR,April 8th 2024
Meiy,64,T1 VS DFM,April 9th 2024
OXY,64,C9 VS LEV,April 6th 2024
heat,64,KRU VS FUR,April 8th 2024
BuZz,62,T1 VS DRX,April 13th 2024
Jremy,61,TS VS RRQ,April 8th 2024
something,61,GEN VS PRX,April 13th 2024
Jemkin,61,TS VS RRQ,April 8th 2024
Lightningfast,60,GE VS TLN,April 15th 2024
Keiko,59,TL VS GX,April 19th 2024
Dep,58,GE VS ZETA,April 6th 2024
tomaszy,58,KC VS NAVI,April 17th 2024
MaKo,57,T1 VS DRX,April 13th 2024
Laz,57,BLD VS ZETA,April 16th 2024
mindfreak,57,GEN VS PRX,April 13th 2024
Dep,56,TS VS ZETA,April 14th 2024
kiNgg,56,C9 VS LEV,April 6th 2024
RieNs,56,VIT VS TH,April 10th 2024
cNed,56,KC VS FUT,April 10th 2024
Xeppaa,55,C9 VS LEV,April 6th 2024
Kicks,55,VIT VS TH,April 10th 2024
yetujey,55,KC VS FUT,April 10th 2024
trexx,55,VIT VS FUT,April 18th 2024
Sayf,55,VIT VS TH,April 10th 2024
Sayf,54,VIT VS FUT,April 18th 2024
Shao,54,TL VS NAVI,April 11th 2024
runneR,53,VIT VS TH,April 10th 2024
JitBoyS,53,GE VS TLN,April 15th 2024
cNed,52,VIT VS FUT,April 18th 2024
Cloud,52,TL VS GX,April 19th 2024
ceNder,52,VIT VS TH,April 10th 2024
hoody,52,TL VS GX,April 19th 2024
MrFaliN,52,VIT VS FUT,April 18th 2024
JitBoyS,52,BLD VS TLN,April 7th 2024
nAts,52,TL VS NAVI,April 11th 2024
SugarZ3ro,52,BLD VS ZETA,April 16th 2024
Jinggg,51,GEN VS PRX,April 13th 2024
Zest,51,BLD VS ZETA,April 16th 2024
ardiis,51,KC VS NAVI,April 17th 2024
benjyfishy,51,VIT VS TH,April 10th 2024
f0rsakeN,51,GEN VS PRX,April 13th 2024
Alfajer,51,FNC VS GX,April 12th 2024
BORKUM,50,TS VS RRQ,April 8th 2024
Governor,50,GE VS TLN,April 15th 2024
invy,50,TS VS RRQ,April 8th 2024
Sayaplayer,50,T1 VS DFM,April 9th 2024
Laz,50,GE VS ZETA,April 6th 2024
Mistic,49,TL VS GX,April 19th 2024
SUYGETSU,49,TL VS NAVI,April 11th 2024
QutionerX,49,BBL VS TH,April 18th 2024
Zyppan,49,TL VS NAVI,April 11th 2024
Jamppi,49,TL VS GX,April 19th 2024
Keiko,49,TL VS NAVI,April 11th 2024
yay,49,BLD VS TLN,April 7th 2024
runi,49,C9 VS LEV,April 6th 2024
xffero,49,TS VS RRQ,April 8th 2024
Deryeon,48,BLD VS ZETA,April 16th 2024
neth,48,T1 VS DFM,April 9th 2024
sScary,48,BLD VS TLN,April 7th 2024
nAts,48,TL VS GX,April 19th 2024
Enzo,48,TL VS GX,April 19th 2024
Medusa,48,T1 VS DFM,April 9th 2024
BORKUM,48,TS VS ZETA,April 14th 2024
Fit1nho,47,TL VS GX,April 19th 2024
NDG,47,TS VS RRQ,April 8th 2024
Meteor,47,GEN VS PRX,April 13th 2024
marteen,47,KC VS FUT,April 10th 2024
ban,47,GE VS TLN,April 15th 2024
iZu,47,T1 VS DFM,April 9th 2024
kiNgg,46,SEN VS LEV,April 13th 2024
invy,46,TS VS ZETA,April 14th 2024
mwzera,46,KRU VS FUR,April 8th 2024
t3xture,46,GEN VS PRX,April 13th 2024
ardiis,46,TL VS NAVI,April 11th 2024
fl1pzjder,46,TS VS RRQ,April 8th 2024
Rossy,46,T1 VS DFM,April 9th 2024
ban,46,BLD VS TLN,April 7th 2024
sh1n,45,KC VS FUT,April 10th 2024
stax,45,T1 VS DRX,April 13th 2024
Lightningfast,45,GE VS ZETA,April 6th 2024
Jremy,45,TS VS ZETA,April 14th 2024
purp0,45,TL VS GX,April 19th 2024
Russ,45,GE VS ZETA,April 6th 2024
nataNk,45,BBL VS M8,April 5th 2024
Retla,44,BLD VS ZETA,April 16th 2024
Mazino,44,C9 VS LEV,April 6th 2024
nzr,44,KRU VS FUR,April 8th 2024
yuran,44,BLD VS ZETA,April 16th 2024
NDG,44,TS VS ZETA,April 14th 2024
ceNder,44,VIT VS FUT,April 18th 2024
Munchkin,44,GEN VS PRX,April 13th 2024
runi,44,C9 VS EG,April 15th 2024
Derke,44,FNC VS KOI,April 19th 2024
sScary,44,BLD VS ZETA,April 16th 2024
marteen,44,KC VS NAVI,April 17th 2024
tex,44,C9 VS LEV,April 6th 2024
Lmemore,43,TS VS RRQ,April 8th 2024
t3xture,43,GEN VS TLN,April 9th 2024
Zyppan,43,KC VS NAVI,April 17th 2024
qRaxs,43,VIT VS FUT,April 18th 2024
Xeppaa,43,C9 VS EG,April 15th 2024
SugarZ3ro,43,TS VS ZETA,April 14th 2024
jawgemo,43,C9 VS EG,April 15th 2024
purp0,42,FNC VS GX,April 12th 2024
yuran,42,TS VS ZETA,April 14th 2024
Lakia,42,GEN VS PRX,April 13th 2024
yuran,42,GE VS ZETA,April 6th 2024
qRaxs,42,KC VS FUT,April 10th 2024
Chronicle,42,FNC VS GX,April 12th 2024
f0rsakeN,42,T1 VS PRX,April 7th 2024
Lmemore,42,BLD VS RRQ,April 14th 2024
Derke,42,M8 VS FNC,April 17th 2024
Laz,41,TS VS ZETA,April 14th 2024
SUYGETSU,41,KC VS NAVI,April 17th 2024
Meiy,41,GEN VS DFM,April 15th 2024
Sayaplayer,41,T1 VS DRX,April 13th 2024
zekken,41,SEN VS LEV,April 13th 2024
Enzo,41,TL VS NAVI,April 11th 2024
Elite,41,BBL VS M8,April 5th 2024
Jamppi,41,TL VS NAVI,April 11th 2024
Governor,41,BLD VS TLN,April 7th 2024
moose,40,C9 VS LEV,April 6th 2024
N4RRATE,40,KC VS NAVI,April 17th 2024
benjyfishy,40,FNC VS TH,April 4th 2024
Apoth,40,C9 VS EG,April 15th 2024
trexx,40,VIT VS TH,April 10th 2024
Cryocells,40,SEN VS 100T,April 7th 2024
Leo,40,FNC VS TH,April 4th 2024
Carpe,40,T1 VS DFM,April 9th 2024
Jinggg,40,T1 VS PRX,April 7th 2024
AtaKaptan,40,KC VS FUT,April 10th 2024
Russ,40,GE VS TLN,April 15th 2024
Mistic,40,TL VS NAVI,April 11th 2024
Victor,40,NRG VS FUR,April 14th 2024
Melser,40,KRU VS FUR,April 8th 2024
N4RRATE,39,KC VS M8,April 12th 2024
MiniBoo,39,FNC VS TH,April 4th 2024
Polvi,39,GE VS TLN,April 15th 2024
ANGE1,39,KC VS NAVI,April 17th 2024
SugarZ3ro,39,GE VS ZETA,April 6th 2024
yetujey,39,VIT VS FUT,April 18th 2024
valyn,39,G2 VS EG,April 7th 2024
xccurate,39,T1 VS PRX,April 7th 2024
Zellsis,39,SEN VS LEV,April 13th 2024
Redgar,38,TL VS GX,April 19th 2024
Dep,38,BLD VS ZETA,April 16th 2024
keznit,38,KRU VS MIBR,April 14th 2024
Deryeon,38,BLD VS TLN,April 7th 2024
iZu,38,T1 VS DRX,April 13th 2024
havoc,38,KRU VS FUR,April 8th 2024
Demon1,38,NRG VS LOUD,April 6th 2024
Demon1,38,NRG VS FUR,April 14th 2024
NaturE,38,G2 VS EG,April 7th 2024
Foxy9,38,TS VS DRX,April 6th 2024
hiroronn,38,GE VS ZETA,April 6th 2024
nAts,38,KOI VS TL,April 3rd 2024
beyAz,38,BBL VS M8,April 5th 2024
Shyy,38,KRU VS FUR,April 8th 2024
Khalil,38,KRU VS FUR,April 8th 2024
something,38,T1 VS PRX,April 7th 2024
tomaszy,38,KC VS GX,April 3rd 2024
yay,38,BLD VS ZETA,April 16th 2024
runneR,38,VIT VS FUT,April 18th 2024
vanity,38,C9 VS LEV,April 6th 2024
Benkai,37,GE VS TLN,April 15th 2024
Karon,37,GEN VS PRX,April 13th 2024
supamen,37,C9 VS EG,April 15th 2024
d4v41,37,GEN VS PRX,April 13th 2024
BeYN,37,T1 VS DRX,April 13th 2024
hiroronn,37,TS VS ZETA,April 14th 2024
Fit1nho,37,FNC VS GX,April 12th 2024
moose,37,C9 VS EG,April 15th 2024
Shao,37,KC VS NAVI,April 17th 2024
invy,37,TS VS DRX,April 6th 2024
MrFaliN,37,KC VS FUT,April 10th 2024
TenZ,37,SEN VS LEV,April 13th 2024
TakaS,37,BBL VS M8,April 5th 2024
Sayaplayer,37,T1 VS RRQ,April 16th 2024
xffero,36,BLD VS RRQ,April 14th 2024
d4v41,36,T1 VS PRX,April 7th 2024
Less,36,NRG VS LOUD,April 6th 2024
Sacy,36,SEN VS 100T,April 7th 2024
