Name,Rating,MatchTeams,Date
Lmemore,1.75,BLD VS RRQ,April 14th 2024
valyn,1.59,G2 VS EG,April 7th 2024
OXY,1.54,C9 VS EG,April 15th 2024
Elite,1.52,BBL VS KOI,April 11th 2024
N4RRATE,1.52,KC VS M8,April 12th 2024
trent,1.49,G2 VS EG,April 7th 2024
tomaszy,1.48,KC VS M8,April 12th 2024
heat,1.48,KRU VS FUR,April 8th 2024
aspas,1.48,SEN VS LEV,April 13th 2024
Chronicle,1.46,M8 VS FNC,April 17th 2024
xffero,1.46,BLD VS RRQ,April 14th 2024
MaKo,1.46,TS VS DRX,April 6th 2024
Derke,1.46,M8 VS FNC,April 17th 2024
Shao,1.43,VIT VS NAVI,April 4th 2024
Demon1,1.42,NRG VS LOUD,April 6th 2024
iZu,1.41,T1 VS RRQ,April 16th 2024
aspas,1.41,C9 VS LEV,April 6th 2024
MaKo,1.4,T1 VS DRX,April 13th 2024
JonahP,1.4,G2 VS EG,April 7th 2024
Victor,1.39,NRG VS FUR,April 14th 2024
BuZz,1.38,T1 VS DRX,April 13th 2024
nataNk,1.36,BBL VS M8,April 5th 2024
Demon1,1.36,NRG VS FUR,April 14th 2024
sh1n,1.35,KC VS GX,April 3rd 2024
Laz,1.35,GE VS ZETA,April 6th 2024
beyAz,1.35,BBL VS M8,April 5th 2024
Jemkin,1.34,BLD VS RRQ,April 14th 2024
Lightningfast,1.34,GE VS TLN,April 15th 2024
benjyfishy,1.33,FNC VS TH,April 4th 2024
ardiis,1.33,KC VS NAVI,April 17th 2024
Leo,1.32,M8 VS FNC,April 17th 2024
Sacy,1.32,SEN VS 100T,April 7th 2024
crashies,1.31,NRG VS LOUD,April 6th 2024
t3xture,1.31,GEN VS TLN,April 9th 2024
tomaszy,1.31,KC VS GX,April 3rd 2024
Marved,1.3,NRG VS LOUD,April 6th 2024
leaf,1.3,G2 VS EG,April 7th 2024
keznit,1.3,KRU VS FUR,April 8th 2024
Foxy9,1.29,GE VS DRX,April 8th 2024
something,1.29,GEN VS PRX,April 13th 2024
MiniBoo,1.29,VIT VS TH,April 10th 2024
QutionerX,1.29,BBL VS TH,April 18th 2024
Dep,1.29,GE VS ZETA,April 6th 2024
MaKo,1.28,GE VS DRX,April 8th 2024
t3xture,1.28,GEN VS DFM,April 15th 2024
Meiy,1.27,T1 VS DFM,April 9th 2024
Derke,1.27,FNC VS KOI,April 19th 2024
Marved,1.27,NRG VS FUR,April 14th 2024
mindfreak,1.26,GEN VS PRX,April 13th 2024
Chronicle,1.26,FNC VS KOI,April 19th 2024
Mistic,1.25,KOI VS TL,April 3rd 2024
Zest,1.25,BLD VS ZETA,April 16th 2024
trexx,1.25,VIT VS FUT,April 18th 2024
N4RRATE,1.25,KC VS GX,April 3rd 2024
cNed,1.24,KC VS FUT,April 10th 2024
tomaszy,1.24,KC VS NAVI,April 17th 2024
eeiu,1.24,G2 VS 100T,April 13th 2024
xccurate,1.24,T1 VS RRQ,April 16th 2024
Leo,1.24,FNC VS KOI,April 19th 2024
