Name,Assists
trexx,91
Rossy,88
SugarZ3ro,84
iZu,84
ardiis,82
sh1n,82
MAGNUM,80
invy,77
Mistic,77
Carpe,76
Enzo,76
Boaster,73
hiroronn,73
qRaxs,71
AtaKaptan,70
paTiTek,68
JessieVash,68
Kicks,67
Leo,62
Redgar,62
Munchkin,62
Lakia,62
Boo,61
Shao,61
Jamppi,61
TenZ,60
N4RRATE,60
Estrella,60
BeYN,60
Chronicle,59
BORKUM,59
Karon,57
MaKo,57
ceNder,56
nAts,56
Xeppaa,56
Lightningfast,55
stax,54
sScary,54
MrFaliN,54
RieNs,53
tomaszy,52
mindfreak,52
heat,52
Fit1nho,51
Russ,51
pAura,51
d4v41,51
yuran,50
Deryeon,48
vanity,48
Keiko,46
reazy,46
fl1pzjder,46
ban,45
ANGE1,45
MiniBoo,44
Brave,44
Dep,44
Crws,44
JonahP,44
kiNgg,44
Zyppan,43
hoody,43
starxo,42
Sayf,42
runi,42
trent,41
runneR,41
marteen,41
Zest,40
beyAz,39
JitBoyS,39
C0M,38
Sayaplayer,38
bang,37
Mazino,37
Lmemore,37
SUYGETSU,36
grubinho,36
blaZek1ng,35
Jremy,35
SSeeS,35
Anthem,34
NaturE,34
Derrek,34
f0rsakeN,33
Cloud,33
Sacy,33
moose,31
Laz,31
Klaus,31
Ethan,31
Wailers,30
nzr,30
Retla,30
kon4n,29
Foxy9,29
xccurate,29
yay,29
TakaS,29
Polvi,29
Benkai,28
Melser,28
supamen,28
yetujey,28
NDG,27
BuZz,27
Alfajer,27
tex,27
Medusa,26
purp0,26
nataNk,26
ShadoW,25
Derke,25
Cryocells,25
valyn,25
t3xture,24
OXY,24
aspas,24
cNed,24
Jinggg,24
johnqt,23
Governor,23
Khalil,22
Shyy,22
icy,22
Surf,22
Marved,21
something,21
Meteor,21
crashies,21
Apoth,21
benjyfishy,20
Elite,20
QutionerX,20
Meiy,19
Asuna,19
Boostio,19
saadhak,18
leaf,18
xffero,18
mwzera,18
kamo,18
logaN,17
keznit,17
eeiu,16
cauanzin,16
Victor,15
Zellsis,15
havoc,14
neth,14
zekken,14
sheydos,13
RgLMeister,12
Demon1,11
mazin,11
tuyz,11
Jemkin,11
Less,11
jawgemo,10
jzz,9
frz,6
lenne,5
artzin,4
Quick,1
