Name,First Deaths
marteen,39
Jremy,39
runneR,38
Polvi,36
Keiko,35
Derke,33
yay,32
MiniBoo,31
Sayaplayer,29
BuZz,29
Dep,28
iZu,27
OXY,26
Governor,24
TakaS,23
ban,23
kamo,23
Jamppi,23
Carpe,21
MAGNUM,21
hiroronn,21
havoc,21
mwzera,20
purp0,20
t3xture,20
tomaszy,20
AtaKaptan,19
Boaster,19
Jemkin,19
Munchkin,19
cNed,19
Alfajer,18
ardiis,18
zekken,18
fl1pzjder,18
Enzo,18
paTiTek,18
trexx,18
Zyppan,17
nAts,17
nataNk,17
Rossy,17
Asuna,17
yetujey,17
Mistic,17
f0rsakeN,16
pAura,16
yuran,16
icy,16
ANGE1,16
C0M,16
MrFaliN,15
Retla,15
Redgar,15
jawgemo,15
keznit,15
Cloud,15
N4RRATE,15
Russ,15
Fit1nho,15
starxo,15
Meiy,15
Anthem,15
supamen,14
vanity,14
neth,14
xccurate,14
xffero,14
Deryeon,14
ceNder,14
Apoth,14
Zest,14
Sayf,14
Lmemore,14
Medusa,14
QutionerX,14
SugarZ3ro,13
Boo,13
Laz,13
Crws,13
sh1n,13
Xeppaa,13
aspas,13
Lakia,13
Shao,13
ShadoW,13
JessieVash,12
TenZ,12
tex,12
Ethan,12
kiNgg,12
NDG,12
Jinggg,12
RieNs,12
hoody,11
SUYGETSU,11
kon4n,11
Foxy9,11
beyAz,11
JitBoyS,11
Karon,11
sScary,11
Quick,11
Meteor,11
Lightningfast,11
something,10
Estrella,10
Benkai,10
blaZek1ng,10
moose,10
Melser,10
logaN,9
stax,9
Chronicle,9
qRaxs,9
BeYN,9
Klaus,9
MaKo,9
bang,9
Zellsis,9
grubinho,9
Surf,9
Sacy,9
Kicks,8
Boostio,8
Leo,8
Brave,8
heat,8
BORKUM,8
Mazino,8
runi,8
Elite,7
benjyfishy,7
frz,7
Wailers,7
NaturE,7
Marved,7
invy,6
sheydos,6
valyn,6
reazy,6
d4v41,6
SSeeS,6
Victor,5
Khalil,5
johnqt,5
artzin,5
JonahP,5
Demon1,5
trent,5
saadhak,4
Derrek,4
leaf,4
Shyy,4
mindfreak,4
tuyz,4
jzz,3
eeiu,3
RgLMeister,3
Cryocells,3
mazin,2
nzr,2
Less,2
cauanzin,2
lenne,1
crashies,1
