Name,Kills
aspas,29.2
OXY,23.33
keznit,20.8
kiNgg,20.4
something,19.8
heat,19.0
Demon1,19.0
zekken,18.75
f0rsakeN,18.6
Cryocells,18.5
Meiy,18.5
MiniBoo,18.43
Elite,18.33
Jinggg,18.2
Less,18.0
nataNk,17.83
BuZz,17.8
cNed,17.75
benjyfishy,17.71
mindfreak,17.4
Keiko,17.3
Sayf,17.12
trent,17.0
valyn,17.0
Lmemore,17.0
t3xture,16.9
Dep,16.89
Jemkin,16.86
Victor,16.75
Jremy,16.75
invy,16.62
MaKo,16.6
Derke,16.56
QutionerX,16.5
Zellsis,16.5
TenZ,16.5
Laz,16.44
Xeppaa,16.33
tomaszy,16.3
Sayaplayer,16.3
Lightningfast,16.25
johnqt,16.25
nAts,16.2
ban,16.0
RieNs,16.0
Sacy,16.0
Mazino,16.0
runneR,15.88
JitBoyS,15.88
xffero,15.71
Alfajer,15.67
sScary,15.55
runi,15.5
yetujey,15.38
Chronicle,15.33
Shao,15.12
N4RRATE,15.1
Meteor,15.1
Zyppan,15.0
lenne,15.0
bang,15.0
SugarZ3ro,14.89
Leo,14.89
BORKUM,14.88
MrFaliN,14.88
Foxy9,14.8
Marved,14.75
SUYGETSU,14.75
leaf,14.75
Russ,14.75
Jamppi,14.7
ardiis,14.62
tex,14.6
NaturE,14.6
d4v41,14.6
Asuna,14.5
crashies,14.5
Fit1nho,14.5
jzz,14.5
BeYN,14.4
iZu,14.3
marteen,14.3
trexx,14.25
qRaxs,14.25
yuran,14.22
Governor,14.12
Munchkin,14.1
pAura,14.0
artzin,14.0
ceNder,14.0
Mistic,13.9
xccurate,13.9
NDG,13.88
purp0,13.88
mwzera,13.8
nzr,13.8
Cloud,13.75
paTiTek,13.71
Rossy,13.7
ANGE1,13.62
Kicks,13.62
hoody,13.5
Enzo,13.5
eeiu,13.5
frz,13.5
Melser,13.4
JonahP,13.25
stax,13.2
yay,13.18
Brave,13.17
C0M,13.0
Zest,12.91
sh1n,12.9
Karon,12.9
Boo,12.86
moose,12.83
Deryeon,12.73
Lakia,12.7
grubinho,12.67
Klaus,12.6
Carpe,12.6
Medusa,12.5
AtaKaptan,12.5
logaN,12.5
Shyy,12.4
hiroronn,12.11
tuyz,12.0
jawgemo,12.0
Polvi,12.0
Benkai,11.88
havoc,11.8
beyAz,11.67
MAGNUM,11.6
sheydos,11.5
Quick,11.5
neth,11.5
TakaS,11.33
Khalil,11.2
Apoth,11.2
supamen,11.2
vanity,11.17
SSeeS,11.12
JessieVash,11.12
Crws,11.12
Derrek,11.0
saadhak,11.0
Anthem,10.88
ShadoW,10.83
kamo,10.67
Retla,10.55
reazy,10.5
cauanzin,10.5
Estrella,10.29
icy,10.25
kon4n,10.2
starxo,10.17
fl1pzjder,10.14
blaZek1ng,10.12
RgLMeister,10.0
Surf,9.86
Boaster,9.78
Ethan,9.75
Redgar,9.62
mazin,8.5
Boostio,8.25
Wailers,7.5
